Site,Plot,Area Sampled (m2),Species,BD_cm,,,,,,,,,,
LDF1,1,5,Betula,0.18,,,,,,,,,,
LDF1,1,5,Betula,0.24,,,,,,,,,,
LDF1,1,5,Betula,0.26,,,,,,,,,,
LDF1,1,5,Betula,0.32,,,,,,,,,,
LDF1,1,5,Betula,0.14,,,,,,,,,,
LDF1,1,5,Betula,0.07,,,,,,,,,,
LDF1,1,5,Betula,0.13,,,,,,,,,,
LDF1,1,5,Betula,0.22,,,,,,,,,,
LDF1,1,5,Betula,0.24,,,,,,,,,,
LDF1,1,5,Betula,0.4,,,,,,,,,,
LDF1,1,5,Betula,0.36,,,,,,,,,,
LDF1,1,5,Betula,0.36,,,,,,,,,,
LDF1,1,5,Betula,0.65,,,,,,,,,,
LDF1,1,5,Betula,0.29,,,,,,,,,,
LDF1,1,5,Betula,0.09,,,,,,,,,,
LDF1,1,5,Betula,0.48,,,,,,,,,,
LDF1,1,5,Betula,0.16,,,,,,,,,,
LDF1,1,5,Betula,0.24,,,,,,,,,,
LDF1,1,5,Betula,0.65,,,,,,,,,,
LDF1,1,5,Betula,0.2,,,,,,,,,,
LDF1,1,5,Betula,0.21,,,,,,,,,,
LDF1,1,5,Betula,0.15,,,,,,,,,,
LDF1,1,5,Betula,0.03,,,,,,,,,,
LDF1,1,5,Betula,0.78,,,,,,,,,,
LDF1,1,5,Betula,0.24,,,,,,,,,,
LDF1,1,5,Betula,0.42,,,,,,,,,,
LDF1,1,5,Betula,0.35,,,,,,,,,,
LDF1,1,5,Betula,0.22,,,,,,,,,,
LDF1,1,5,Betula,0.12,,,,,,,,,,
LDF1,1,5,Betula,0.01,,,,,,,,,,
LDF1,1,5,Betula,0.44,,,,,,,,,,
LDF1,1,5,Betula,0.29,,,,,,,,,,
LDF1,1,5,Betula,0.25,,,,,,,,,,
LDF1,1,5,Betula,0.19,,,,,,,,,,
LDF1,1,5,Betula,0.26,,,,,,,,,,
LDF1,1,5,Betula,0.26,,,,,,,,,,
LDF1,1,5,Betula,0.23,,,,,,,,,,
